,_id,stratmed_sku,brand_code,brand_name,category,committed_volume,dose_size,dpco_list,form,generic_name,group,gst,manufacturer_code,mrp,price_effective_from_date,price_effective_to_date,purchase_price_w_gst,remarks,roa,status,subcategory,therapy_code,unit_per_pack,uom_pack_type,business_unit,dpco_ceiling_price,hsn_code,innovator_brand,marketed_by,therapy_name,group_name,manufacturer_name,category_name,subcategory_name,form_name,roa_name,created_by,created_date,unit_per_pack_num,update_date,updated_by,1m_mfg_name,generic_code,combined
943,600875F716802C03E8AE7D23,101253,NAN,AUGMENTIN 1.2 GM INJ,CAT100,NAN,1000MG+200MG,NAN,FOR105,AMOXYCILLIN+CLAVULANIC ACID,GRP114,12,SMMFG00001-01,140.22,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,AMPICILLIN/AMOXYCILLIN,GLAXOSMITHKLINE,PHARMA,ANTI-INFECTIVES,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMOXYCILLIN+CLAVULANIC ACID_INJECTIONS_1000MG+200MG_GLAXOSMITHKLINE_AUGMENTIN 1.2 GM INJ_1_140.22
1152,600875F716802C03E8AE7E1A,101500,NAN,ADVENT 300 MG INJ,CAT100,NAN,250MG+50MG,NAN,FOR105,AMOXYCILLIN+CLAVULANIC ACID,GRP114,12,SMMFG00010-01,87.72,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,AMPICILLIN/AMOXYCILLIN,CIPLA,PHARMA,ANTI-INFECTIVES,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMOXYCILLIN+CLAVULANIC ACID_INJECTIONS_250MG+50MG_CIPLA_ADVENT 300 MG INJ_1_87.72
1177,600875F716802C03E8AE7E44,101542,NAN,ADVENT 600 MG INJ,CAT100,NAN,500MG+100MG,NAN,FOR105,AMOXYCILLIN+CLAVULANIC ACID,GRP114,12,SMMFG00010-01,98.67,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,AMPICILLIN/AMOXYCILLIN,CIPLA,PHARMA,ANTI-INFECTIVES,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMOXYCILLIN+CLAVULANIC ACID_INJECTIONS_500MG+100MG_CIPLA_ADVENT 600 MG INJ_1_98.67
1322,600875F716802C03E8AE7F17,101753,NAN,LORTINIL TZ INJ,CAT100,NAN,1000MG+125MG,NO,FOR105,CEFTAZIDIME+TAZOBACTUM,GRP183,12,SMMFG00037-01,413.0,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,VERITAZ HEALTHCARE,ANTI-INFECTIVES & INFECTIOUS DISEASES,CEPHALOSPORINS,VERITAZ HEALTHCARE,PHARMA,ANTI-INFECTIVES,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CEFTAZIDIME+TAZOBACTUM_INJECTIONS_1000MG+125MG_VERITAZ HEALTHCARE_LORTINIL TZ INJ_1_413.0
2643,600875F816802C03E8AE857C,103390,NAN,KZ PLUS LOTION 75 ML,CAT100,NAN,2%W/V+1%W/V,NO,FOR138,KETOCONAZOLE+ZINC PYRITHIONE,GRP217,12,SMMFG00043-01,349.0,NAN,NAN,NAN,NAN,ROA101,ACTIVE,SUBC110,STH109,1,BOTTLE,NAN,NAN,NAN,NO,HEGDE & HEGDE,DERMATOLOGY,HAIR CARE/ANTIDANDRUFF PREP.,HEGDE & HEGDE,PHARMA,DERMATOLOGY,LOTIONS,TOPICAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,KETOCONAZOLE+ZINC PYRITHIONE_LOTIONS_2%W/V+1%W/V_HEGDE & HEGDE_KZ PLUS LOTION 75 ML_1_349.0
3621,600875F916802C03E8AE89AB,104464,NAN,DOMSTAL 10 MG DT TAB,CAT100,NAN,10MG,NO,FOR111,DOMPERIDONE,GRP134,12,SMMFG00018-01,39.5,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC102,STH102,10,STRIP,NAN,NAN,NAN,NO,TORRENT PHARMA,GASTROENTEROLOGY,ANTIEMET.-ANTINAUS SOL.,TORRENT PHARMA,PHARMA,GASTROENTEROLOGY,TABLETS-DT,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DOMPERIDONE_TABLETS-DT_10MG_TORRENT PHARMA_DOMSTAL 10 MG DT TAB_10_39.5
3809,600875F916802C03E8AE8A89,104686,NAN,NOVELON TAB,CAT100,NAN,0.15MG+0.03MG,NO,FOR102,DESOGESTREL+ETHINYL ESTRADIOL,GRP219,12,SMMFG00024-02,218.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,ORGANON INDIA LTD,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,ORGANON INDIA LTD,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DESOGESTREL+ETHINYL ESTRADIOL_TABLETS_0.15MG+0.03MG_ORGANON INDIA LTD_NOVELON TAB_21_218.0
3810,600875F916802C03E8AE8A8A,104687,NAN,FEMILON TAB,CAT100,NAN,0.15MG+0.02MG,NO,FOR102,DESOGESTREL+ETHINYL ESTRADIOL,GRP219,12,SMMFG00024-02,250.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,ORGANON INDIA LTD,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,ORGANON INDIA LTD,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DESOGESTREL+ETHINYL ESTRADIOL_TABLETS_0.15MG+0.02MG_ORGANON INDIA LTD_FEMILON TAB_21_250.0
3817,600875F916802C03E8AE8A92,104695,NAN,KRIMSON 35 TAB,CAT100,NAN,2MG+0.035MG,NO,FOR102,CYPROTERONE+ETHINYL ESTRADIOL,GRP219,12,SMMFG00012-01,358.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,SUN PHARMA,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,SUN PHARMA,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CYPROTERONE+ETHINYL ESTRADIOL_TABLETS_2MG+0.035MG_SUN PHARMA_KRIMSON 35 TAB_21_358.0
3864,600875F916802C03E8AE8AC4,104745,NAN,GINETTE 35 TAB,CAT100,NAN,2MG+0.035MG,NO,FOR102,CYPROTERONE+ETHINYL ESTRADIOL,GRP219,12,SMMFG00010-01,326.02,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,CIPLA,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,CIPLA,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CYPROTERONE+ETHINYL ESTRADIOL_TABLETS_2MG+0.035MG_CIPLA_GINETTE 35 TAB_21_326.02
