,_id,stratmed_sku,brand_code,brand_name,category,committed_volume,dose_size,dpco_list,form,generic_name,group,gst,manufacturer_code,mrp,price_effective_from_date,price_effective_to_date,purchase_price_w_gst,remarks,roa,status,subcategory,therapy_code,unit_per_pack,uom_pack_type,business_unit,dpco_ceiling_price,hsn_code,innovator_brand,marketed_by,therapy_name,group_name,manufacturer_name,category_name,subcategory_name,form_name,roa_name,created_by,created_date,unit_per_pack_num,update_date,updated_by,1m_mfg_name,generic_code,combined
512,600875F616802C03E8AE7B32,100756,NAN,KALNASE NASAL SPRAY,CAT100,NAN,200IU,NO,FOR119,CALCITONIN,GRP150,12,SMMFG00010-01,950.0,NAN,NAN,NAN,NAN,ROA101,ACTIVE,SUB174,STH104,1,BOTTLE,NO,NAN,NAN,NO,CIPLA,CENTRAL NERVOUS SYSTEM DISORDERS,ANTI-OSTEOPOROSIS PREP.,CIPLA,PHARMA,ANALGESICS & ANTIPYRETICS,SPRAYS,TOPICAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CALCITONIN_SPRAYS_200IU_KALNASE NASAL SPRAY_1_950.0
630,600875F616802C03E8AE7BC0,100898,NAN,RYZODEG 100IU/ML FLEXTOUCH,CAT100,NAN,1.05MG+2.56MG,NO,FOR105,INSULIN ASPART+INSULIN DEGLUDEC,GRP220,5,SMMFG00014-01,1320.0,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC117,STH113,1,VIAL,NAN,NAN,NAN,NO,ABBOTT,DIABETOLOGY,HUMAN INSULIN N ANALOGUES,ABBOTT,PHARMA,ANTI-DIABETIC,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,INSULIN ASPART+INSULIN DEGLUDEC_INJECTIONS_1.05MG+2.56MG_RYZODEG 100IU/ML FLEXTOUCH_1_1320.0
637,600875F616802C03E8AE7BC8,100906,NAN,HUMALOG MIX 25 CARTRIDGE,CAT100,NAN,[25/75]100IU,NO,FOR105,INSULIN LISPRO+INSULIN LISPRO PROTAMINE,GRP220,12,SMMFG00465-01,745.0,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC117,STH113,1,CARTRIDGE,NAN,NAN,NAN,NO,ELI LILLY,DIABETOLOGY,HUMAN INSULIN N ANALOGUES,ELI LILLY,PHARMA,ANTI-DIABETIC,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,INSULIN LISPRO+INSULIN LISPRO PROTAMINE_INJECTIONS_[25/75]100IU_HUMALOG MIX 25 CARTRIDGE_1_745.0
654,600875F616802C03E8AE7BDE,100928,NAN,INVOKANA 100 MG TAB,CAT100,NAN,100MG,NO,FOR102,CANAGLIFLOZIN,GRP254,12,SMMFG00526-04,545.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC117,STH113,10,STRIP,NAN,NAN,NAN,NO,JANSSEN,DIABETOLOGY,ORAL ANTIDIABETICS,JANSSEN,PHARMA,ANTI-DIABETIC,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CANAGLIFLOZIN_TABLETS_100MG_INVOKANA 100 MG TAB_10_545.0
666,600875F616802C03E8AE7BEE,100944,NAN,HUMALOG MIX 50 CARTRIDGE,CAT100,NAN,[50/50]100IU,NO,FOR105,INSULIN LISPRO+INSULIN LISPRO PROTAMINE,GRP220,5,SMMFG00465-01,745.0,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC117,STH113,1,CARTRIDGE,NAN,NAN,NAN,NO,ELI LILLY,DIABETOLOGY,HUMAN INSULIN N ANALOGUES,ELI LILLY,PHARMA,ANTI-DIABETIC,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,INSULIN LISPRO+INSULIN LISPRO PROTAMINE_INJECTIONS_[50/50]100IU_HUMALOG MIX 50 CARTRIDGE_1_745.0
736,600875F616802C03E8AE7C41,101027,NAN,HUMALOG MIX 25 KWIK PEN,CAT100,NAN,[25/75]100IU,NO,FOR105,INSULIN LISPRO+INSULIN LISPRO PROTAMINE,GRP220,5,SMMFG00465-01,851.0,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC117,STH113,1,CARTRIDGE,NAN,NAN,NAN,NO,ELI LILLY,DIABETOLOGY,HUMAN INSULIN N ANALOGUES,ELI LILLY,PHARMA,ANTI-DIABETIC,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,INSULIN LISPRO+INSULIN LISPRO PROTAMINE_INJECTIONS_[25/75]100IU_HUMALOG MIX 25 KWIK PEN_1_851.0
766,600875F616802C03E8AE7C61,101059,NAN,HUMALOG MIX 50 KWIK PEN,CAT100,NAN,[50/50]100IU,NO,FOR105,INSULIN LISPRO+INSULIN LISPRO PROTAMINE,GRP220,12,SMMFG00465-01,936.0,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC117,STH113,1,PENFILL,NAN,NAN,NAN,NO,ELI LILLY,DIABETOLOGY,HUMAN INSULIN N ANALOGUES,ELI LILLY,PHARMA,ANTI-DIABETIC,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,INSULIN LISPRO+INSULIN LISPRO PROTAMINE_INJECTIONS_[50/50]100IU_HUMALOG MIX 50 KWIK PEN_1_936.0
943,600875F716802C03E8AE7D23,101253,NAN,AUGMENTIN 1.2 GM INJ,CAT100,NAN,1000MG+200MG,NAN,FOR105,AMOXYCILLIN+CLAVULANIC ACID,GRP114,12,SMMFG00001-01,140.22,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,AMPICILLIN/AMOXYCILLIN,GLAXOSMITHKLINE,PHARMA,ANTI-INFECTIVES,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMOXYCILLIN+CLAVULANIC ACID_INJECTIONS_1000MG+200MG_AUGMENTIN 1.2 GM INJ_1_140.22
1152,600875F716802C03E8AE7E1A,101500,NAN,ADVENT 300 MG INJ,CAT100,NAN,250MG+50MG,NAN,FOR105,AMOXYCILLIN+CLAVULANIC ACID,GRP114,12,SMMFG00010-01,87.72,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,AMPICILLIN/AMOXYCILLIN,CIPLA,PHARMA,ANTI-INFECTIVES,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMOXYCILLIN+CLAVULANIC ACID_INJECTIONS_250MG+50MG_ADVENT 300 MG INJ_1_87.72
1177,600875F716802C03E8AE7E44,101542,NAN,ADVENT 600 MG INJ,CAT100,NAN,500MG+100MG,NAN,FOR105,AMOXYCILLIN+CLAVULANIC ACID,GRP114,12,SMMFG00010-01,98.67,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,AMPICILLIN/AMOXYCILLIN,CIPLA,PHARMA,ANTI-INFECTIVES,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMOXYCILLIN+CLAVULANIC ACID_INJECTIONS_500MG+100MG_ADVENT 600 MG INJ_1_98.67
